# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
16.51467759,-11.10241976,9.28468170,2.78255723,-0.00000000,6.00000000,6.00000000
16.61476655,-11.19612666,9.31985009,2.78255723,-0.00000000,6.00000000,6.00000000
16.71485550,-11.28983356,9.35501848,2.78255723,-0.00000000,6.00000000,6.00000000
16.81494446,-11.38354046,9.39018687,2.78255723,-0.00000000,6.00000000,6.00000000
16.91503341,-11.47724737,9.42535526,2.78255723,-0.00000000,6.00000000,6.00000000
17.01512237,-11.57095427,9.46052365,2.78255723,-0.00000000,6.00000000,6.00000000
17.11521132,-11.66466117,9.49569203,2.78255723,0.00000000,6.00000000,6.00000000
17.21530028,-11.75836807,9.53086042,2.78255723,0.00000000,6.00000000,6.00000000
17.31538923,-11.85207497,9.56602881,2.78255723,0.00000000,6.00000000,6.00000000
17.41547819,-11.94578187,9.60119720,2.78255723,0.00000000,6.00000000,6.00000000
17.51556714,-12.03948877,9.63636559,2.78255723,0.00000000,6.00000000,6.00000000
17.61565610,-12.13319568,9.67153398,2.78255723,-0.00000000,6.00000000,6.00000000
17.71574505,-12.22690258,9.70670237,2.78255723,-0.00000001,6.00000000,6.00000000
17.81583401,-12.32060948,9.74187075,2.78255723,-0.00000001,6.00000000,6.00000000
17.91592296,-12.41431638,9.77703914,2.78255723,-0.00000001,6.00000000,6.00000000
18.01601192,-12.50802328,9.81220753,2.78255723,-0.00000001,6.00000000,6.00000000
18.11610087,-12.60173018,9.84737592,2.78255723,-0.00000000,6.00000000,6.00000000
18.21618983,-12.69543708,9.88254431,2.78255723,0.00000001,6.00000000,6.00000000
18.31627878,-12.78914399,9.91771270,2.78255723,0.00000003,6.00000000,6.00000000
18.41636774,-12.88285089,9.95288109,2.78255723,0.00000004,6.00000000,6.00000000
18.51645669,-12.97655779,9.98804948,2.78255724,0.00000005,6.00000000,6.00000000
18.61654565,-13.07026469,10.02321786,2.78255724,0.00000003,6.00000000,6.00000000
18.71663460,-13.16397159,10.05838625,2.78255725,-0.00000001,6.00000000,6.00000000
18.81672356,-13.25767849,10.09355464,2.78255724,-0.00000006,6.00000000,6.00000000
18.91681252,-13.35138540,10.12872303,2.78255723,-0.00000012,6.00000000,6.00000000
19.01690147,-13.44509230,10.16389142,2.78255722,-0.00000017,6.00000000,6.00000000
19.11699043,-13.53879920,10.19905981,2.78255720,-0.00000018,6.00000000,6.00000000
19.21707938,-13.63250610,10.23422820,2.78255718,-0.00000008,6.00000000,6.00000000
19.31716834,-13.72621300,10.26939659,2.78255718,0.00000011,6.00000000,6.00000000
19.41725729,-13.81991990,10.30456499,2.78255720,0.00000031,6.00000000,6.00000000
19.51734625,-13.91362680,10.33973337,2.78255725,0.00000052,6.00000000,6.00000000
19.61743520,-14.00733370,10.37490176,2.78255731,0.00000067,6.00000000,6.00000000
19.71752416,-14.10104061,10.41007014,2.78255738,0.00000056,6.00000000,6.00000000
19.81761311,-14.19474751,10.44523851,2.78255742,0.00000005,6.00000000,6.00000000
19.91770207,-14.28845442,10.48040688,2.78255739,-0.00000069,6.00000000,6.00000000
20.01779102,-14.38216133,10.51557526,2.78255728,-0.00000147,6.00000000,6.00000000
20.11787998,-14.47586823,10.55074365,2.78255710,-0.00000222,6.00000000,6.00000000
20.21796893,-14.56957512,10.58591206,2.78255684,-0.00000252,6.00000000,6.00000000
20.31805789,-14.66328200,10.62108050,2.78255659,-0.00000151,6.00000000,6.00000000
20.41814684,-14.75698888,10.65624896,2.78255654,0.00000085,6.00000000,6.00000000
20.51823580,-14.85069576,10.69141741,2.78255676,0.00000371,6.00000000,6.00000000
20.61832475,-14.94440265,10.72658582,2.78255728,0.00000659,6.00000000,6.00000000
20.71841371,-15.03810956,10.76175418,2.78255808,0.00000911,6.00000000,6.00000000
20.81850266,-15.13181651,10.79692244,2.78255910,0.00000868,6.00000000,6.00000000
20.91859162,-15.22552350,10.83209060,2.78255982,0.00000263,6.00000000,6.00000000
21.01868057,-15.31923049,10.86725873,2.78255963,-0.00000729,6.00000000,6.00000000
21.11876953,-15.41293747,10.90242693,2.78255836,-0.00001804,6.00000000,6.00000000
21.21885848,-15.50664438,10.93759530,2.78255602,-0.00002876,6.00000000,6.00000000
21.31894744,-15.60035119,10.97276393,2.78255260,-0.00003537,6.00000000,6.00000000
21.41903639,-15.69405786,11.00793294,2.78254894,-0.00002612,6.00000000,6.00000000
21.51912535,-15.78776441,11.04310227,2.78254738,0.00000359,6.00000000,6.00000000
21.61921430,-15.88147098,11.07827157,2.78254966,0.00004283,6.00000000,6.00000000
21.71930326,-15.97517769,11.11344047,2.78255595,0.00008296,6.00000000,6.00000000
21.81939221,-16.06888469,11.14860859,2.78256626,0.00012099,6.00000000,6.00000000
